TIME,GEO,WST_OPER,UNIT,Value
2000,Turkey,Waste generated,Thousand tonnes,"30,617"
2000,Turkey,Waste treatment,Thousand tonnes,"24,696"
2001,European Union - 28 countries,Waste generated,Thousand tonnes,"253,761"
2001,European Union - 28 countries,Waste treatment,Thousand tonnes,"242,155"
2001,European Union - 28 countries,Recycling - material,Thousand tonnes,"42,691"
2001,European Union - 27 countries (2007-2013),Waste generated,Thousand tonnes,"252,588"
2001,European Union - 27 countries (2007-2013),Waste treatment,Thousand tonnes,"241,276"
2001,European Union - 27 countries (2007-2013),Recycling - material,Thousand tonnes,"42,691"
2001,Belgium,Waste generated,Thousand tonnes,"4,802"
2001,Belgium,Waste treatment,Thousand tonnes,"4,643"
2001,Belgium,Recycling - material,Thousand tonnes,"1,305"
2001,Bulgaria,Waste generated,Thousand tonnes,"4,773"
2001,Bulgaria,Waste treatment,Thousand tonnes,"3,968"
2001,Bulgaria,Recycling - material,Thousand tonnes,770
2001,Czechia,Waste generated,Thousand tonnes,"2,798"
2001,Czechia,Waste treatment,Thousand tonnes,"2,582"
2001,Czechia,Recycling - material,Thousand tonnes,15
2001,Denmark,Waste generated,Thousand tonnes,"3,519"
2001,Denmark,Waste treatment,Thousand tonnes,"3,519"
2001,Denmark,Recycling - material,Thousand tonnes,787
2001,Germany (until 1990 former territory of the FRG),Waste generated,Thousand tonnes,"52,075"
2001,Germany (until 1990 former territory of the FRG),Waste treatment,Thousand tonnes,"52,075"
2001,Germany (until 1990 former territory of the FRG),Recycling - material,Thousand tonnes,"19,632"
2001,Estonia,Waste generated,Thousand tonnes,509
2001,Estonia,Waste treatment,Thousand tonnes,430
2001,Estonia,Recycling - material,Thousand tonnes,15
2001,Ireland,Waste generated,Thousand tonnes,"2,704"
2001,Ireland,Waste treatment,Thousand tonnes,"2,377"
2001,Ireland,Recycling - material,Thousand tonnes,284
2001,Greece,Waste generated,Thousand tonnes,"4,559"
2001,Greece,Waste treatment,Thousand tonnes,"4,559"
2001,Greece,Recycling - material,Thousand tonnes,370
2001,Spain,Waste generated,Thousand tonnes,"26,616"
2001,Spain,Waste treatment,Thousand tonnes,"21,916"
2001,Spain,Recycling - material,Thousand tonnes,"2,956"
2001,France,Waste generated,Thousand tonnes,"32,198"
2001,France,Waste treatment,Thousand tonnes,"32,198"
2001,France,Recycling - material,Thousand tonnes,"4,410"
2001,Italy,Waste generated,Thousand tonnes,"29,409"
2001,Italy,Waste treatment,Thousand tonnes,"27,668"
2001,Italy,Recycling - material,Thousand tonnes,"3,513"
2001,Cyprus,Waste generated,Thousand tonnes,456
2001,Cyprus,Waste treatment,Thousand tonnes,456
2001,Cyprus,Recycling - material,Thousand tonnes,14
2001,Latvia,Waste generated,Thousand tonnes,713
2001,Latvia,Waste treatment,Thousand tonnes,640
2001,Lithuania,Waste generated,Thousand tonnes,"1,313"
2001,Lithuania,Waste treatment,Thousand tonnes,"1,169"
2001,Luxembourg,Waste generated,Thousand tonnes,285
2001,Luxembourg,Waste treatment,Thousand tonnes,285
2001,Luxembourg,Recycling - material,Thousand tonnes,66
2001,Hungary,Waste generated,Thousand tonnes,"4,603"
2001,Hungary,Waste treatment,Thousand tonnes,"4,123"
2001,Hungary,Recycling - material,Thousand tonnes,57
2001,Malta,Waste generated,Thousand tonnes,212
2001,Malta,Waste treatment,Thousand tonnes,212
2001,Malta,Recycling - material,Thousand tonnes,1
2001,Netherlands,Waste generated,Thousand tonnes,"9,550"
2001,Netherlands,Waste treatment,Thousand tonnes,"8,141"
2001,Netherlands,Recycling - material,Thousand tonnes,"1,917"
2001,Austria,Waste generated,Thousand tonnes,"4,634"
2001,Austria,Waste treatment,Thousand tonnes,"5,074"
2001,Austria,Recycling - material,Thousand tonnes,"1,125"
2001,Poland,Waste generated,Thousand tonnes,"11,109"
2001,Poland,Waste treatment,Thousand tonnes,"11,108"
2001,Poland,Recycling - material,Thousand tonnes,147
2001,Portugal,Waste generated,Thousand tonnes,"4,709"
2001,Portugal,Waste treatment,Thousand tonnes,"4,709"
2001,Portugal,Recycling - material,Thousand tonnes,190
2001,Romania,Waste generated,Thousand tonnes,"7,539"
2001,Romania,Waste treatment,Thousand tonnes,"6,079"
2001,Romania,Recycling - material,Thousand tonnes,123
2001,Slovenia,Waste generated,Thousand tonnes,953
2001,Slovenia,Waste treatment,Thousand tonnes,738
2001,Slovenia,Recycling - material,Thousand tonnes,14
2001,Slovakia,Waste generated,Thousand tonnes,"1,286"
2001,Slovakia,Waste treatment,Thousand tonnes,"1,258"
2001,Slovakia,Recycling - material,Thousand tonnes,36
2001,Finland,Waste generated,Thousand tonnes,"2,412"
2001,Finland,Waste treatment,Thousand tonnes,"2,499"
2001,Finland,Recycling - material,Thousand tonnes,628
2001,Sweden,Waste generated,Thousand tonnes,"3,907"
2001,Sweden,Waste treatment,Thousand tonnes,"3,907"
2001,Sweden,Recycling - material,Thousand tonnes,"1,135"
2001,United Kingdom,Waste generated,Thousand tonnes,"34,945"
2001,United Kingdom,Waste treatment,Thousand tonnes,"34,942"
2001,United Kingdom,Recycling - material,Thousand tonnes,"3,181"
2001,Iceland,Waste generated,Thousand tonnes,133
2001,Iceland,Waste treatment,Thousand tonnes,132
2001,Iceland,Recycling - material,Thousand tonnes,18
2001,Norway,Waste generated,Thousand tonnes,"1,629"
2001,Norway,Waste treatment,Thousand tonnes,"1,629"
2001,Norway,Recycling - material,Thousand tonnes,496
2001,Switzerland,Waste generated,Thousand tonnes,"4,794"
2001,Switzerland,Waste treatment,Thousand tonnes,"4,794"
2001,Switzerland,Recycling - material,Thousand tonnes,"1,584"
2001,Turkey,Waste generated,Thousand tonnes,"31,031"
2001,Turkey,Waste treatment,Thousand tonnes,"25,134"
2002,European Union - 28 countries,Waste generated,Thousand tonnes,"257,117"
2002,European Union - 28 countries,Waste treatment,Thousand tonnes,"245,359"
2002,European Union - 28 countries,Recycling - material,Thousand tonnes,"46,597"
2002,European Union - 27 countries (2007-2013),Waste generated,Thousand tonnes,"255,945"
2002,European Union - 27 countries (2007-2013),Waste treatment,Thousand tonnes,"244,480"
2002,European Union - 27 countries (2007-2013),Recycling - material,Thousand tonnes,"46,597"
2002,Belgium,Waste generated,Thousand tonnes,"4,981"
2002,Belgium,Waste treatment,Thousand tonnes,"4,796"
2002,Belgium,Recycling - material,Thousand tonnes,"1,365"
2002,Bulgaria,Waste generated,Thousand tonnes,"4,715"
2002,Bulgaria,Waste treatment,Thousand tonnes,"3,958"
2002,Bulgaria,Recycling - material,Thousand tonnes,770
2002,Czechia,Waste generated,Thousand tonnes,"2,845"
2002,Czechia,Waste treatment,Thousand tonnes,"2,523"
2002,Czechia,Recycling - material,Thousand tonnes,16
2002,Denmark,Waste generated,Thousand tonnes,"3,568"
2002,Denmark,Waste treatment,Thousand tonnes,"3,568"
2002,Denmark,Recycling - material,Thousand tonnes,796
2002,Germany (until 1990 former territory of the FRG),Waste generated,Thousand tonnes,"52,772"
2002,Germany (until 1990 former territory of the FRG),Waste treatment,Thousand tonnes,"52,771"
2002,Germany (until 1990 former territory of the FRG),Recycling - material,Thousand tonnes,"22,015"
2002,Estonia,Waste generated,Thousand tonnes,553
2002,Estonia,Waste treatment,Thousand tonnes,434
2002,Estonia,Recycling - material,Thousand tonnes,11
2002,Ireland,Waste generated,Thousand tonnes,"2,720"
2002,Ireland,Waste treatment,Thousand tonnes,"2,464"
2002,Ireland,Recycling - material,Thousand tonnes,463
2002,Greece,Waste generated,Thousand tonnes,"4,640"
2002,Greece,Waste treatment,Thousand tonnes,"4,640"
2002,Greece,Recycling - material,Thousand tonnes,375
2002,Spain,Waste generated,Thousand tonnes,"26,404"
2002,Spain,Waste treatment,Thousand tonnes,"24,015"
2002,Spain,Recycling - material,Thousand tonnes,"3,811"
2002,France,Waste generated,Thousand tonnes,"32,684"
2002,France,Waste treatment,Thousand tonnes,"32,684"
2002,France,Recycling - material,Thousand tonnes,"4,715"
2002,Italy,Waste generated,Thousand tonnes,"29,864"
2002,Italy,Waste treatment,Thousand tonnes,"25,840"
2002,Italy,Recycling - material,Thousand tonnes,"2,727"
2002,Cyprus,Waste generated,Thousand tonnes,465
2002,Cyprus,Waste treatment,Thousand tonnes,465
2002,Cyprus,Recycling - material,Thousand tonnes,15
2002,Latvia,Waste generated,Thousand tonnes,793
2002,Latvia,Waste treatment,Thousand tonnes,673
2002,Latvia,Recycling - material,Thousand tonnes,3
2002,Lithuania,Waste generated,Thousand tonnes,"1,395"
2002,Lithuania,Waste treatment,Thousand tonnes,"1,119"
2002,Luxembourg,Waste generated,Thousand tonnes,291
2002,Luxembourg,Waste treatment,Thousand tonnes,291
2002,Luxembourg,Recycling - material,Thousand tonnes,66
2002,Hungary,Waste generated,Thousand tonnes,"4,646"
