TIME,GEO,ANIMALS,MONTH,UNIT,Value
2000,Cyprus,"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),20.54
2000,Cyprus,"Bovine animals, 1 year",December,Thousand heads (animals),9.61
2000,Latvia,Live bovine animals,December,Thousand heads (animals),366.7
2000,Latvia,"Bovine animals, less than 1 year",December,Thousand heads (animals),97.9
2000,Latvia,"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),24.7
2000,Latvia,"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),73.2
2000,Latvia,"Bovine animals, 1 year",December,Thousand heads (animals),51.6
2000,Lithuania,Live bovine animals,December,Thousand heads (animals),748.3
2000,Lithuania,"Bovine animals, less than 1 year",December,Thousand heads (animals),162.1
2000,Lithuania,"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),81.2
2000,Lithuania,"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),80.9
2000,Lithuania,"Bovine animals, 1 year",December,Thousand heads (animals),113.5
2000,Luxembourg,Live bovine animals,December,Thousand heads (animals),199.64
2000,Luxembourg,"Bovine animals, less than 1 year",December,Thousand heads (animals),53.16
2000,Luxembourg,"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),2.2
2000,Luxembourg,"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),50.96
2000,Luxembourg,"Bovine animals, 1 year",December,Thousand heads (animals),45.45
2000,Hungary,Live bovine animals,December,Thousand heads (animals),805
2000,Hungary,"Bovine animals, less than 1 year",December,Thousand heads (animals),212
2000,Hungary,"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),63
2000,Hungary,"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),149
2000,Hungary,"Bovine animals, 1 year",December,Thousand heads (animals),163
2000,Netherlands,Live bovine animals,December,Thousand heads (animals),"3,890.00"
2000,Netherlands,"Bovine animals, less than 1 year",December,Thousand heads (animals),"1,391.00"
2000,Netherlands,"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),876
2000,Netherlands,"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),515
2000,Netherlands,"Bovine animals, 1 year",December,Thousand heads (animals),715
2000,Austria,Live bovine animals,December,Thousand heads (animals),"2,155.45"
2000,Austria,"Bovine animals, less than 1 year",December,Thousand heads (animals),655.37
2000,Austria,"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),68.05
2000,Austria,"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),587.32
2000,Austria,"Bovine animals, 1 year",December,Thousand heads (animals),466.48
2000,Poland,Live bovine animals,December,Thousand heads (animals),"5,723.00"
2000,Poland,"Bovine animals, less than 1 year",December,Thousand heads (animals),"1,355.20"
2000,Poland,"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),182.2
2000,Poland,"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),"1,173.00"
2000,Poland,"Bovine animals, 1 year",December,Thousand heads (animals),"1,056.80"
2000,Portugal,Live bovine animals,December,Thousand heads (animals),"1,396.86"
2000,Portugal,"Bovine animals, less than 1 year",December,Thousand heads (animals),385.93
2000,Portugal,"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),69.51
2000,Portugal,"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),316.42
2000,Portugal,"Bovine animals, 1 year",December,Thousand heads (animals),227.73
2000,Romania,Live bovine animals,December,Thousand heads (animals),"2,870.40"
2000,Slovenia,Live bovine animals,December,Thousand heads (animals),493.67
2000,Slovenia,"Bovine animals, less than 1 year",December,Thousand heads (animals),145.73
2000,Slovenia,"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),17.87
2000,Slovenia,"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),127.86
2000,Slovenia,"Bovine animals, 1 year",December,Thousand heads (animals),127.2
2000,Slovakia,Live bovine animals,December,Thousand heads (animals),646.15
2000,Slovakia,"Bovine animals, less than 1 year",December,Thousand heads (animals),176.43
2000,Slovakia,"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),48.59
2000,Slovakia,"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),127.84
2000,Slovakia,"Bovine animals, 1 year",December,Thousand heads (animals),143.79
2000,Finland,Live bovine animals,December,Thousand heads (animals),"1,035.10"
2000,Finland,"Bovine animals, less than 1 year",December,Thousand heads (animals),362
2000,Finland,"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),9
2000,Finland,"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),353
2000,Finland,"Bovine animals, 1 year",December,Thousand heads (animals),251.8
2000,Sweden,Live bovine animals,December,Thousand heads (animals),"1,617.60"
2000,Sweden,"Bovine animals, less than 1 year",December,Thousand heads (animals),502.3
2000,Sweden,"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),22.3
2000,Sweden,"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),480
2000,Sweden,"Bovine animals, 1 year",December,Thousand heads (animals),408.3
2000,United Kingdom,Live bovine animals,December,Thousand heads (animals),"10,877.51"
2000,United Kingdom,"Bovine animals, less than 1 year",December,Thousand heads (animals),"2,937.80"
2000,United Kingdom,"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),41.21
2000,United Kingdom,"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),"2,896.60"
2000,United Kingdom,"Bovine animals, 1 year",December,Thousand heads (animals),"2,809.43"
2001,European Union - 28 countries,Live bovine animals,December,Thousand heads (animals),"94,234.56"
2001,European Union - 27 countries (2007-2013),Live bovine animals,December,Thousand heads (animals),"93,796.13"
2001,European Union - 25 countries (2004-2006),Live bovine animals,December,Thousand heads (animals),"90,355.23"
2001,European Union - 25 countries (2004-2006),"Bovine animals, less than 1 year",December,Thousand heads (animals),"25,891.22"
2001,European Union - 25 countries (2004-2006),"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),"21,309.39"
2001,European Union - 25 countries (2004-2006),"Bovine animals, 1 year",December,Thousand heads (animals),"18,765.06"
2001,European Union - 15 countries (1995-2004),Live bovine animals,December,Thousand heads (animals),"79,981.84"
2001,European Union - 15 countries (1995-2004),"Bovine animals, less than 1 year",December,Thousand heads (animals),"23,268.34"
2001,European Union - 15 countries (1995-2004),"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),"4,138.09"
2001,European Union - 15 countries (1995-2004),"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),"19,130.25"
2001,European Union - 15 countries (1995-2004),"Bovine animals, 1 year",December,Thousand heads (animals),"16,755.44"
2001,Belgium,Live bovine animals,December,Thousand heads (animals),"2,907.72"
2001,Belgium,"Bovine animals, less than 1 year",December,Thousand heads (animals),798.43
2001,Belgium,"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),180.22
2001,Belgium,"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),618.21
2001,Belgium,"Bovine animals, 1 year",December,Thousand heads (animals),592.31
2001,Bulgaria,Live bovine animals,December,Thousand heads (animals),641.1
2001,Bulgaria,"Bovine animals, less than 1 year",December,Thousand heads (animals),212.1
2001,Bulgaria,"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),105
2001,Bulgaria,"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),107.1
2001,Bulgaria,"Bovine animals, 1 year",December,Thousand heads (animals),32.9
2001,Czechia,Live bovine animals,December,Thousand heads (animals),"1,520.00"
2001,Czechia,"Bovine animals, less than 1 year",December,Thousand heads (animals),461
2001,Czechia,"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),461
2001,Czechia,"Bovine animals, 1 year",December,Thousand heads (animals),364
2001,Denmark,Live bovine animals,December,Thousand heads (animals),"1,840.00"
2001,Denmark,"Bovine animals, less than 1 year",December,Thousand heads (animals),584
2001,Denmark,"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),6
2001,Denmark,"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),578
2001,Denmark,"Bovine animals, 1 year",December,Thousand heads (animals),356
2001,Germany (until 1990 former territory of the FRG),Live bovine animals,December,Thousand heads (animals),"14,226.64"
2001,Germany (until 1990 former territory of the FRG),"Bovine animals, less than 1 year",December,Thousand heads (animals),"4,413.75"
2001,Germany (until 1990 former territory of the FRG),"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),104.32
2001,Germany (until 1990 former territory of the FRG),"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),"4,309.43"
2001,Germany (until 1990 former territory of the FRG),"Bovine animals, 1 year",December,Thousand heads (animals),"3,364.91"
2001,Estonia,Live bovine animals,December,Thousand heads (animals),260.5
2001,Estonia,"Bovine animals, less than 1 year",December,Thousand heads (animals),69.9
2001,Estonia,"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),16.8
2001,Estonia,"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),53.1
2001,Estonia,"Bovine animals, 1 year",December,Thousand heads (animals),48.8
2001,Ireland,Live bovine animals,December,Thousand heads (animals),"6,408.07"
2001,Ireland,"Bovine animals, less than 1 year",December,Thousand heads (animals),"1,879.43"
2001,Ireland,"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),0
2001,Ireland,"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),"1,879.43"
2001,Ireland,"Bovine animals, 1 year",December,Thousand heads (animals),"1,482.86"
2001,Greece,Live bovine animals,December,Thousand heads (animals),559
2001,Greece,"Bovine animals, less than 1 year",December,Thousand heads (animals),144
2001,Greece,"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),106
2001,Greece,"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),38
2001,Greece,"Bovine animals, 1 year",December,Thousand heads (animals),84
2001,Spain,Live bovine animals,December,Thousand heads (animals),"6,410.78"
2001,Spain,"Bovine animals, less than 1 year",December,Thousand heads (animals),"2,170.53"
2001,Spain,"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),"1,470.24"
2001,Spain,"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),700.3
2001,Spain,"Bovine animals, 1 year",December,Thousand heads (animals),790.86
2001,France,Live bovine animals,December,Thousand heads (animals),"20,320.06"
2001,France,"Bovine animals, less than 1 year",December,Thousand heads (animals),"5,276.83"
2001,France,"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),762
2001,France,"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),"4,514.83"
